POBLACION DEL COMERCIO,NOMBRE DEL COMERCIO,Zona,Tipo
CIUDAD DE ME,GIGANTE 16,,
GUADALAJARA,TELEFONICA COBRANZA1,,
GUADALAJARA,TELEFONICA COBRANZA1,,
GUADALAJARA,FARM GUADALAJARA 30,,
GUADALAJARA,SORIANA 198 AVIACION,,
GUADALAJARA J,FARM CMQ NAC UNIDAS,,
GUADALAJARA J,SRIA DE FNZ DL EDO DE,,
GUADALAJARA J,SRIA DE FNZ DL EDO DE,,
GUADALAJARA J,ROPA GEOVAN,,
GUADALAJARA J,KICKER CAR AUDIO,,
GUADALAJARA J,GRUPO GIRALDA,,
GUADALAJARA J,SU SUPER,,
GUADALAJARA J,EGO NET VENTAS,,
GUADALAJARA J,3G COM,,
GUADALAJARA J,WAL MART GUA REVOLUCIO,,
GUADALAJARA J,FARM GUADALAJARA 303,,
GUADALAJARA J,MAS TV SENAL CAB,,
GUAJALAJARA J,FARM GUADALAJARA 67,,
MEXICO DF,BOD LIBRAMIENTO,,
MEXICO DF,HIPER LUMEN GUADALAJAR,,
MEXICO DF,AXTEL,,
SN P GARZA GA,GIGANTE 4,,
TLAJOMULCO JA,SANBORN S GDA COUNTRY,,
TLAQUEPAQUE,WAL MART NINO OBRERO,,
TLAQUEPAQUE J,ABARR LAGUNITAS,,
TORREON COAH,FARM GUADALAJARA 88,,
ZAPOPAN,FARM GUADALAJARA 288,,
ZAPOPAN,WAL MART VALLARTA,,
ZAPOPAN,WAL MART VALLARTA,,
ZAPOPAN,MGA060309HX1 GAS,,
ZAPOPAN,FARM GUADALAJARA 29,,
ZAPOPAN JAL,UNIF LA COLONIAL,,
ZAPOPAN JAL,SORIANA CORD SUC 61,,
ZAPOPAN JAL,FARM GUADALAJARA 90,,
ZAPOPAN JAL,REST BAR EL CANELO,,
ZAPOPAN JAL,MIXUP GRAN PZA,,
ZAPOPAN JAL,PSE6602015CA GAS,,
ZAPOPAN JAL,FARM GUADALAJARA 21,,
ZAPOPAN JAL,CABLEVISION RED,,
,*** SU PAGO GRACIAS ***,,
ZAPOPAN,GIGANTE 35,,
ZAPOPAN JAL,IGA020227G45 GAS,,
TLALNEPANTLA,OPER VENUS,,
ZAPOPAN JAL,FARM GUADALAJARA 25,,
TONALA,FARM GUADALAJARA 242,,
GUADALAJARA J,UNIF LA COLONIAL,,
ZAPOPAN,NO PROBLEM PZA PATRIA,,
ZAPOPAN,FARM GUADALAJARA 173,,
GUADALAJARA J,FARM GUADALAJARA 36,,
ZAPOPAN JAL,ABARROTES MAXI,,
CIUDAD DE ME,AIG1 MEX 01800 0064200,,
GUADALAJARA J,BODEGA GUAD ATEMAJAC,,
ZAPOPAN JAL,FARM GUADALAJARA 374,,
GUADALAJARA J,MEGACABLE,,
GUADALAJARA J,CINETICKET GUADALAJARA,,
ZAPOPAN JAL,ABARR SUPERMDO SANTA F,,
GUADALAJARA,FARM GUADALAJARA 303,,
,PAGOS INTERBANCARIOS,,
