"POBLACION DEL COMERCIO","NOMBRE DEL COMERCIO","Zona","Tipo"
"MEXICO DF","GIGANTE",2,2
"GUADALAJARA","TELEFONICA COBRANZA1",4,4
"GUADALAJARA","TELEFONICA COBRANZA1",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","SORIANA",4,4
"GUADALAJARA","FARM CMQ NAC UNIDAS",4,4
"GUADALAJARA","SRIA FINANZAS Y ADMON",4,4
"GUADALAJARA","SRIA FINANZAS Y ADMON",4,4
"GUADALAJARA","ROPA GEOVAN",4,4
"GUADALAJARA","KICKER CAR AUDIO",4,4
"GUADALAJARA","GRUPO GIRALDA",4,4
"GUADALAJARA","SU SUPER",4,4
"GUADALAJARA","EGO NET VENTAS",4,4
"GUADALAJARA","3G COM",4,4
"GUADALAJARA","WALMART",3,3
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","MAS TV SENAL CAB",4,4
"GUAAJARA J","FARM GUADALAJARA",4,4
"MEXICO DF","BOD LIBRAMIENTO",4,4
"MEXICO DF","HIPER LUMEN GUADALAJAR",4,4
"MEXICO DF","AXTEL",4,4
"SN P GARZA GA","GIGANTE",2,2
"TLAJOMULCO D","SANBORNS",4,4
"TLAQUEPAQUE","WALMART",3,3
"TLAQUEPAQUE","ABARR LAGUNITAS",4,4
"TORREON COAH","FARM GUADALAJARA",4,4
"ZAPOPAN","FARM GUADALAJARA",4,4
"ZAPOPAN","WALMART",3,3
"ZAPOPAN","WALMART",3,3
"ZAPOPAN","MGA060309HX1 GAS",4,4
"ZAPOPAN","FARM GUADALAJARA",4,4
"ZAPOPAN ","UNIF LA COLONIAL",4,4
"ZAPOPAN ","SORIANA",4,4
"ZAPOPAN ","FARM GUADALAJARA",4,4
"ZAPOPAN ","REST BAR EL CANELO",4,4
"ZAPOPAN ","MIXUP GRAN PZA",4,4
"ZAPOPAN ","PSE6602015CA GAS",4,4
"ZAPOPAN ","FARM GUADALAJARA",4,4
"ZAPOPAN ","CABLEVISION",4,4
"","*** SU PAGO GRACIAS ***",4,4
"ZAPOPAN","GIGANTE",2,2
"ZAPOPAN ","IGA020227G45 GAS",4,4
"TLALNEPANTLA","OPER",4,4
"ZAPOPAN ","FARM GUADALAJARA",4,4
"TONALA","FARM GUADALAJARA",4,4
"GUADALAJARA","UNIF LA COLONIAL",4,4
"ZAPOPAN","NO PROBLEM PZA PATRIA",4,4
"ZAPOPAN","FARM GUADALAJARA",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"ZAPOPAN ","ABARROTES MAXI",4,4
"MEXICO DF","AIG1 MEX 01800 0064200",4,4
"GUADALAJARA","BODEGA AURRERA",4,4
"ZAPOPAN ","FARM GUADALAJARA",4,4
"GUADALAJARA","MEGA",4,4
"GUADALAJARA","CINEPOLIS",4,4
"ZAPOPAN ","ABARR SUPERMDO SANTA F",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"","PAGOS INTERBANCARIOS",4,4
"ZAPOPAN ","SORIANA",4,4
"TONALA ","WALMART",3,3
"GUADALAJARA","STOP",4,4
"","*** SU PAGO GRACIAS ***",4,4
"GUADALAJARA","TELCEL",4,4
"SN JN D LOS L","AAGM201123LG9 GAS",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"ZAPOPAN ","SUPERAMA",4,4
"ZAPOPAN","FARM GUADALAJARA",4,4
"ZAPOPAN","FARM GUADALAJARA",4,4
"ZAPOPAN ","CABLEVISION",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","BODEGA AURRERA",4,4
